OBJECTID,section,category,description,date,metric,value,report_date
422,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/18/2020,Cumulative,9941,01/31/2021
423,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/19/2020,Cumulative,10255,01/31/2021
424,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/20/2020,Cumulative,10555,01/31/2021
425,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/21/2020,Cumulative,11025,01/31/2021
426,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/22/2020,Cumulative,11426,01/31/2021
427,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/23/2020,Cumulative,12394,01/31/2021
428,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/24/2020,Cumulative,13103,01/31/2021
429,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/25/2020,Cumulative,13596,01/31/2021
430,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/26/2020,Cumulative,14028,01/31/2021
431,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/27/2020,Cumulative,14521,01/31/2021
432,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/28/2020,Cumulative,14956,01/31/2021
433,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/29/2020,Cumulative,15799,01/31/2021
434,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,04/30/2020,Cumulative,16259,01/31/2021
435,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/01/2020,Cumulative,16722,01/31/2021
436,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/02/2020,Cumulative,17130,01/31/2021
437,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/03/2020,Cumulative,17373,01/31/2021
438,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/04/2020,Cumulative,17738,01/31/2021
439,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/05/2020,Cumulative,18132,01/31/2021
440,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/06/2020,Cumulative,18578,01/31/2021
441,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/07/2020,Cumulative,19036,01/31/2021
442,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/08/2020,Cumulative,19584,01/31/2021
443,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/09/2020,Cumulative,19932,01/31/2021
444,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/10/2020,Cumulative,20150,01/31/2021
445,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/11/2020,Cumulative,20399,01/31/2021
446,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/12/2020,Cumulative,20695,01/31/2021
447,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/13/2020,Cumulative,21127,01/31/2021
448,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/14/2020,Cumulative,21540,01/31/2021
449,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/15/2020,Cumulative,21971,01/31/2021
450,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/16/2020,Cumulative,22300,01/31/2021
451,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/17/2020,Cumulative,22519,01/31/2021
452,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/18/2020,Cumulative,22795,01/31/2021
453,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/19/2020,Cumulative,23084,01/31/2021
454,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/20/2020,Cumulative,23452,01/31/2021
455,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/21/2020,Cumulative,23760,01/31/2021
456,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/22/2020,Cumulative,24217,01/31/2021
457,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/23/2020,Cumulative,24444,01/31/2021
458,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/24/2020,Cumulative,24714,01/31/2021
459,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/25/2020,Cumulative,25018,01/31/2021
460,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/26/2020,Cumulative,25221,01/31/2021
461,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/27/2020,Cumulative,25507,01/31/2021
462,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/28/2020,Cumulative,25849,01/31/2021
463,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/29/2020,Cumulative,26338,01/31/2021
464,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/30/2020,Cumulative,26639,01/31/2021
465,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,05/31/2020,Cumulative,26790,01/31/2021
466,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/01/2020,Cumulative,27000,01/31/2021
467,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/02/2020,Cumulative,27243,01/31/2021
468,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/03/2020,Cumulative,27547,01/31/2021
469,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/04/2020,Cumulative,27823,01/31/2021
470,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/05/2020,Cumulative,28060,01/31/2021
471,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/06/2020,Cumulative,28218,01/31/2021
472,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/07/2020,Cumulative,28362,01/31/2021
473,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/08/2020,Cumulative,28543,01/31/2021
474,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/09/2020,Cumulative,28673,01/31/2021
475,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/10/2020,Cumulative,28796,01/31/2021
476,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/11/2020,Cumulative,29034,01/31/2021
477,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/12/2020,Cumulative,29265,01/31/2021
478,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/13/2020,Cumulative,29384,01/31/2021
479,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/14/2020,Cumulative,29515,01/31/2021
480,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/15/2020,Cumulative,29654,01/31/2021
481,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/16/2020,Cumulative,29906,01/31/2021
482,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/17/2020,Cumulative,30157,01/31/2021
483,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/18/2020,Cumulative,30502,01/31/2021
484,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/19/2020,Cumulative,30681,01/31/2021
485,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/20/2020,Cumulative,30888,01/31/2021
486,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/21/2020,Cumulative,31029,01/31/2021
487,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/22/2020,Cumulative,31213,01/31/2021
488,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/23/2020,Cumulative,31470,01/31/2021
489,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/24/2020,Cumulative,31730,01/31/2021
490,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/25/2020,Cumulative,32055,01/31/2021
491,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/26/2020,Cumulative,32343,01/31/2021
492,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/27/2020,Cumulative,32631,01/31/2021
493,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/28/2020,Cumulative,32798,01/31/2021
494,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/29/2020,Cumulative,33016,01/31/2021
495,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,06/30/2020,Cumulative,33305,01/31/2021
496,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/01/2020,Cumulative,33700,01/31/2021
497,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/02/2020,Cumulative,34066,01/31/2021
498,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/03/2020,Cumulative,34362,01/31/2021
499,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/04/2020,Cumulative,34589,01/31/2021
500,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/05/2020,Cumulative,34775,01/31/2021
501,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/06/2020,Cumulative,35163,01/31/2021
502,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/07/2020,Cumulative,35517,01/31/2021
503,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/08/2020,Cumulative,35927,01/31/2021
504,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/09/2020,Cumulative,36558,01/31/2021
505,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/10/2020,Cumulative,37008,01/31/2021
506,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/11/2020,Cumulative,37382,01/31/2021
507,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/12/2020,Cumulative,37750,01/31/2021
508,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/13/2020,Cumulative,38171,01/31/2021
509,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/14/2020,Cumulative,38582,01/31/2021
510,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/15/2020,Cumulative,39177,01/31/2021
511,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/16/2020,Cumulative,39760,01/31/2021
512,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/17/2020,Cumulative,40286,01/31/2021
513,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/18/2020,Cumulative,40654,01/31/2021
514,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/19/2020,Cumulative,41081,01/31/2021
515,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/20/2020,Cumulative,41640,01/31/2021
516,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/21/2020,Cumulative,42261,01/31/2021
517,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/22/2020,Cumulative,42866,01/31/2021
518,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/23/2020,Cumulative,43582,01/31/2021
519,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/24/2020,Cumulative,44383,01/31/2021
520,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/25/2020,Cumulative,44963,01/31/2021
521,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/26/2020,Cumulative,45162,01/31/2021
522,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/27/2020,Cumulative,46040,01/31/2021
523,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/28/2020,Cumulative,46534,01/31/2021
524,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/29/2020,Cumulative,46992,01/31/2021
525,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/30/2020,Cumulative,47587,01/31/2021
526,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,07/31/2020,Cumulative,48135,01/31/2021
527,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/01/2020,Cumulative,48566,01/31/2021
528,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/02/2020,Cumulative,48814,01/31/2021
529,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/03/2020,Cumulative,49338,01/31/2021
530,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/04/2020,Cumulative,49886,01/31/2021
531,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/05/2020,Cumulative,50293,01/31/2021
532,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/06/2020,Cumulative,50736,01/31/2021
533,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/07/2020,Cumulative,51188,01/31/2021
534,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/08/2020,Cumulative,51484,01/31/2021
535,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/09/2020,Cumulative,51763,01/31/2021
536,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/10/2020,Cumulative,52058,01/31/2021
537,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/11/2020,Cumulative,52295,01/31/2021
538,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/12/2020,Cumulative,52756,01/31/2021
539,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/13/2020,Cumulative,53157,01/31/2021
540,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/14/2020,Cumulative,53436,01/31/2021
541,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/15/2020,Cumulative,53790,01/31/2021
542,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/16/2020,Cumulative,53963,01/31/2021
543,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/17/2020,Cumulative,54229,01/31/2021
544,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/18/2020,Cumulative,54544,01/31/2021
545,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/19/2020,Cumulative,54918,01/31/2021
546,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/20/2020,Cumulative,55312,01/31/2021
547,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/21/2020,Cumulative,55612,01/31/2021
548,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/22/2020,Cumulative,55882,01/31/2021
549,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/23/2020,Cumulative,56065,01/31/2021
550,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/24/2020,Cumulative,56371,01/31/2021
551,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/25/2020,Cumulative,56621,01/31/2021
552,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/26/2020,Cumulative,56985,01/31/2021
553,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/27/2020,Cumulative,57414,01/31/2021
554,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/28/2020,Cumulative,57726,01/31/2021
555,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/29/2020,Cumulative,57945,01/31/2021
556,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/30/2020,Cumulative,58131,01/31/2021
557,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,08/31/2020,Cumulative,58500,01/31/2021
558,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/01/2020,Cumulative,58733,01/31/2021
559,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/02/2020,Cumulative,59040,01/31/2021
560,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/03/2020,Cumulative,59435,01/31/2021
561,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/04/2020,Cumulative,59756,01/31/2021
562,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/05/2020,Cumulative,60033,01/31/2021
563,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/06/2020,Cumulative,60279,01/31/2021
564,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/07/2020,Cumulative,60470,01/31/2021
565,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/08/2020,Cumulative,60782,01/31/2021
566,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/09/2020,Cumulative,61043,01/31/2021
567,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/10/2020,Cumulative,61403,01/31/2021
568,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/11/2020,Cumulative,61808,01/31/2021
569,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/12/2020,Cumulative,62258,01/31/2021
570,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/13/2020,Cumulative,62659,01/31/2021
571,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/14/2020,Cumulative,63097,01/31/2021
572,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/15/2020,Cumulative,63584,01/31/2021
573,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/16/2020,Cumulative,64085,01/31/2021
574,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/17/2020,Cumulative,64701,01/31/2021
575,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/18/2020,Cumulative,65347,01/31/2021
576,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/19/2020,Cumulative,65847,01/31/2021
577,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/20/2020,Cumulative,66389,01/31/2021
578,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/21/2020,Cumulative,67037,01/31/2021
579,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/22/2020,Cumulative,67642,01/31/2021
580,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/23/2020,Cumulative,68283,01/31/2021
581,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/24/2020,Cumulative,68984,01/31/2021
582,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/25/2020,Cumulative,69617,01/31/2021
583,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/26/2020,Cumulative,70221,01/31/2021
584,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/27/2020,Cumulative,70694,01/31/2021
585,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/28/2020,Cumulative,71242,01/31/2021
586,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/29/2020,Cumulative,71764,01/31/2021
587,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,09/30/2020,Cumulative,72474,01/31/2021
588,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/01/2020,Cumulative,73208,01/31/2021
589,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/02/2020,Cumulative,73878,01/31/2021
590,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/03/2020,Cumulative,74444,01/31/2021
591,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/04/2020,Cumulative,74975,01/31/2021
592,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/05/2020,Cumulative,75595,01/31/2021
593,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/06/2020,Cumulative,76395,01/31/2021
594,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/07/2020,Cumulative,77317,01/31/2021
595,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/08/2020,Cumulative,78171,01/31/2021
596,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/09/2020,Cumulative,79205,01/31/2021
597,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/10/2020,Cumulative,80110,01/31/2021
598,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/11/2020,Cumulative,80742,01/31/2021
599,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/12/2020,Cumulative,81915,01/31/2021
600,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/13/2020,Cumulative,82701,01/31/2021
601,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/14/2020,Cumulative,83928,01/31/2021
602,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/15/2020,Cumulative,85205,01/31/2021
603,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/16/2020,Cumulative,86388,01/31/2021
604,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/17/2020,Cumulative,87428,01/31/2021
605,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/18/2020,Cumulative,88619,01/31/2021
606,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/19/2020,Cumulative,89705,01/31/2021
607,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/20/2020,Cumulative,90824,01/31/2021
608,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/21/2020,Cumulative,92348,01/31/2021
609,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/22/2020,Cumulative,93913,01/31/2021
610,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/23/2020,Cumulative,95707,01/31/2021
611,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/24/2020,Cumulative,97407,01/31/2021
612,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/25/2020,Cumulative,99700,01/31/2021
613,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/26/2020,Cumulative,101147,01/31/2021
614,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/27/2020,Cumulative,102487,01/31/2021
615,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/28/2020,Cumulative,104254,01/31/2021
616,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/29/2020,Cumulative,106743,01/31/2021
617,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/30/2020,Cumulative,109615,01/31/2021
618,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,10/31/2020,Cumulative,112313,01/31/2021
619,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/01/2020,Cumulative,114725,01/31/2021
620,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/02/2020,Cumulative,117345,01/31/2021
621,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/03/2020,Cumulative,120308,01/31/2021
622,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/04/2020,Cumulative,123825,01/31/2021
623,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/05/2020,Cumulative,127552,01/31/2021
624,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/06/2020,Cumulative,131348,01/31/2021
625,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/07/2020,Cumulative,134653,01/31/2021
626,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/08/2020,Cumulative,138554,01/31/2021
627,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/09/2020,Cumulative,142329,01/31/2021
628,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/10/2020,Cumulative,146213,01/31/2021
629,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/11/2020,Cumulative,151672,01/31/2021
630,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/12/2020,Cumulative,158399,01/31/2021
631,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/13/2020,Cumulative,163636,01/31/2021
632,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/14/2020,Cumulative,167980,01/31/2021
633,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/15/2020,Cumulative,172028,01/31/2021
634,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/16/2020,Cumulative,176571,01/31/2021
635,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/17/2020,Cumulative,181757,01/31/2021
636,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/18/2020,Cumulative,187979,01/31/2021
637,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/19/2020,Cumulative,194038,01/31/2021
638,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/20/2020,Cumulative,200103,01/31/2021
639,Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,11/21/2020,Cumulative,204408,01/31/2021
