OBJECTID,Desc_,Date,Metric,Value,Rep_Date,Name,Pop
1570,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/11/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1126448,02/02/2021,Colorado,5763976
1571,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/11/2020,7-Day Average Percent Positivity,0.041,02/02/2021,Colorado,5763976
1572,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/11/2020,3-Day Average Percent Positivity,0.045,02/02/2021,Colorado,5763976
1573,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/12/2020,Percent Positivity,0.062,02/02/2021,Colorado,5763976
1574,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/12/2020,People Tested at CDPHE State Lab,5583,02/02/2021,Colorado,5763976
1575,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/12/2020,People Tested at Non-CDPHE (Commerical) Labs,11716,02/02/2021,Colorado,5763976
1576,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/12/2020,Cumulative People Tested at CDPHE State Lab,469420,02/02/2021,Colorado,5763976
1577,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/12/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1138164,02/02/2021,Colorado,5763976
1578,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/12/2020,7-Day Average Percent Positivity,0.044,02/02/2021,Colorado,5763976
1579,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/12/2020,3-Day Average Percent Positivity,0.053,02/02/2021,Colorado,5763976
1580,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/13/2020,Percent Positivity,0.045,02/02/2021,Colorado,5763976
1581,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/13/2020,People Tested at CDPHE State Lab,4045,02/02/2021,Colorado,5763976
1582,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/13/2020,People Tested at Non-CDPHE (Commerical) Labs,10248,02/02/2021,Colorado,5763976
1583,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/13/2020,Cumulative People Tested at CDPHE State Lab,473465,02/02/2021,Colorado,5763976
1584,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/13/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1148412,02/02/2021,Colorado,5763976
1585,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/13/2020,7-Day Average Percent Positivity,0.045,02/02/2021,Colorado,5763976
1586,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/13/2020,3-Day Average Percent Positivity,0.053,02/02/2021,Colorado,5763976
1587,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/14/2020,Percent Positivity,0.051,02/02/2021,Colorado,5763976
1588,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/14/2020,People Tested at CDPHE State Lab,6882,02/02/2021,Colorado,5763976
1589,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/14/2020,People Tested at Non-CDPHE (Commerical) Labs,15727,02/02/2021,Colorado,5763976
1590,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/14/2020,Cumulative People Tested at CDPHE State Lab,480347,02/02/2021,Colorado,5763976
1591,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/14/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1164139,02/02/2021,Colorado,5763976
1592,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/14/2020,7-Day Average Percent Positivity,0.046,02/02/2021,Colorado,5763976
1593,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/14/2020,3-Day Average Percent Positivity,0.053,02/02/2021,Colorado,5763976
1594,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/15/2020,Percent Positivity,0.057,02/02/2021,Colorado,5763976
1595,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/15/2020,People Tested at CDPHE State Lab,6284,02/02/2021,Colorado,5763976
1596,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/15/2020,People Tested at Non-CDPHE (Commerical) Labs,14738,02/02/2021,Colorado,5763976
1597,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/15/2020,Cumulative People Tested at CDPHE State Lab,486631,02/02/2021,Colorado,5763976
1598,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/15/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1178877,02/02/2021,Colorado,5763976
1599,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/15/2020,7-Day Average Percent Positivity,0.05,02/02/2021,Colorado,5763976
1600,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/15/2020,3-Day Average Percent Positivity,0.051,02/02/2021,Colorado,5763976
1601,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/16/2020,Percent Positivity,0.05,02/02/2021,Colorado,5763976
1602,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/16/2020,People Tested at CDPHE State Lab,6629,02/02/2021,Colorado,5763976
1603,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/16/2020,People Tested at Non-CDPHE (Commerical) Labs,14857,02/02/2021,Colorado,5763976
1604,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/16/2020,Cumulative People Tested at CDPHE State Lab,493260,02/02/2021,Colorado,5763976
1605,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/16/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1193734,02/02/2021,Colorado,5763976
1606,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/16/2020,7-Day Average Percent Positivity,0.052,02/02/2021,Colorado,5763976
1607,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/16/2020,3-Day Average Percent Positivity,0.052,02/02/2021,Colorado,5763976
1608,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/17/2020,Percent Positivity,0.053,02/02/2021,Colorado,5763976
1609,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/17/2020,People Tested at CDPHE State Lab,6063,02/02/2021,Colorado,5763976
1610,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/17/2020,People Tested at Non-CDPHE (Commerical) Labs,15201,02/02/2021,Colorado,5763976
1611,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/17/2020,Cumulative People Tested at CDPHE State Lab,499323,02/02/2021,Colorado,5763976
1612,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/17/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1208935,02/02/2021,Colorado,5763976
1613,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/17/2020,7-Day Average Percent Positivity,0.053,02/02/2021,Colorado,5763976
1614,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/17/2020,3-Day Average Percent Positivity,0.053,02/02/2021,Colorado,5763976
1615,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/18/2020,Percent Positivity,0.062,02/02/2021,Colorado,5763976
1616,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/18/2020,People Tested at CDPHE State Lab,6270,02/02/2021,Colorado,5763976
1617,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/18/2020,People Tested at Non-CDPHE (Commerical) Labs,12866,02/02/2021,Colorado,5763976
1618,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/18/2020,Cumulative People Tested at CDPHE State Lab,505593,02/02/2021,Colorado,5763976
1619,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/18/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1221801,02/02/2021,Colorado,5763976
1620,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/18/2020,7-Day Average Percent Positivity,0.054,02/02/2021,Colorado,5763976
1621,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/18/2020,3-Day Average Percent Positivity,0.055,02/02/2021,Colorado,5763976
1622,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/19/2020,Percent Positivity,0.062,02/02/2021,Colorado,5763976
1623,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/19/2020,People Tested at CDPHE State Lab,7279,02/02/2021,Colorado,5763976
1624,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/19/2020,People Tested at Non-CDPHE (Commerical) Labs,8293,02/02/2021,Colorado,5763976
1625,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/19/2020,Cumulative People Tested at CDPHE State Lab,512872,02/02/2021,Colorado,5763976
1626,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/19/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1230094,02/02/2021,Colorado,5763976
1627,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/19/2020,7-Day Average Percent Positivity,0.054,02/02/2021,Colorado,5763976
1628,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/19/2020,3-Day Average Percent Positivity,0.059,02/02/2021,Colorado,5763976
1629,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/20/2020,Percent Positivity,0.057,02/02/2021,Colorado,5763976
1630,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/20/2020,People Tested at CDPHE State Lab,6124,02/02/2021,Colorado,5763976
1631,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/20/2020,People Tested at Non-CDPHE (Commerical) Labs,12381,02/02/2021,Colorado,5763976
1632,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/20/2020,Cumulative People Tested at CDPHE State Lab,518996,02/02/2021,Colorado,5763976
1633,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/20/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1242475,02/02/2021,Colorado,5763976
1634,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/20/2020,7-Day Average Percent Positivity,0.056,02/02/2021,Colorado,5763976
1635,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/20/2020,3-Day Average Percent Positivity,0.061,02/02/2021,Colorado,5763976
1636,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/21/2020,Percent Positivity,0.067,02/02/2021,Colorado,5763976
1637,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/21/2020,People Tested at CDPHE State Lab,6388,02/02/2021,Colorado,5763976
1638,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/21/2020,People Tested at Non-CDPHE (Commerical) Labs,15641,02/02/2021,Colorado,5763976
1639,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/21/2020,Cumulative People Tested at CDPHE State Lab,525384,02/02/2021,Colorado,5763976
1640,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/21/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1258116,02/02/2021,Colorado,5763976
1641,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/21/2020,7-Day Average Percent Positivity,0.058,02/02/2021,Colorado,5763976
1642,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/21/2020,3-Day Average Percent Positivity,0.063,02/02/2021,Colorado,5763976
1643,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/22/2020,Percent Positivity,0.059,02/02/2021,Colorado,5763976
1644,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/22/2020,People Tested at CDPHE State Lab,8039,02/02/2021,Colorado,5763976
1645,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/22/2020,People Tested at Non-CDPHE (Commerical) Labs,17712,02/02/2021,Colorado,5763976
1646,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/22/2020,Cumulative People Tested at CDPHE State Lab,533423,02/02/2021,Colorado,5763976
1647,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/22/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1275828,02/02/2021,Colorado,5763976
1648,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/22/2020,7-Day Average Percent Positivity,0.059,02/02/2021,Colorado,5763976
1649,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/22/2020,3-Day Average Percent Positivity,0.061,02/02/2021,Colorado,5763976
1650,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/23/2020,Percent Positivity,0.064,02/02/2021,Colorado,5763976
1651,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/23/2020,People Tested at CDPHE State Lab,7590,02/02/2021,Colorado,5763976
1652,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/23/2020,People Tested at Non-CDPHE (Commerical) Labs,20236,02/02/2021,Colorado,5763976
1653,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/23/2020,Cumulative People Tested at CDPHE State Lab,541013,02/02/2021,Colorado,5763976
1654,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/23/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1296064,02/02/2021,Colorado,5763976
1655,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/23/2020,7-Day Average Percent Positivity,0.061,02/02/2021,Colorado,5763976
1656,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/23/2020,3-Day Average Percent Positivity,0.063,02/02/2021,Colorado,5763976
1657,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/24/2020,Percent Positivity,0.074,02/02/2021,Colorado,5763976
1658,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/24/2020,People Tested at CDPHE State Lab,6486,02/02/2021,Colorado,5763976
1659,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/24/2020,People Tested at Non-CDPHE (Commerical) Labs,18488,02/02/2021,Colorado,5763976
1660,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/24/2020,Cumulative People Tested at CDPHE State Lab,547499,02/02/2021,Colorado,5763976
1661,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/24/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1314552,02/02/2021,Colorado,5763976
1662,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/24/2020,7-Day Average Percent Positivity,0.064,02/02/2021,Colorado,5763976
1663,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/24/2020,3-Day Average Percent Positivity,0.066,02/02/2021,Colorado,5763976
1664,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/25/2020,Percent Positivity,0.077,02/02/2021,Colorado,5763976
1665,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/25/2020,People Tested at CDPHE State Lab,7333,02/02/2021,Colorado,5763976
1666,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/25/2020,People Tested at Non-CDPHE (Commerical) Labs,24515,02/02/2021,Colorado,5763976
1667,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/25/2020,Cumulative People Tested at CDPHE State Lab,554832,02/02/2021,Colorado,5763976
1668,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/25/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1339067,02/02/2021,Colorado,5763976
1669,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/25/2020,7-Day Average Percent Positivity,0.067,02/02/2021,Colorado,5763976
1670,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/25/2020,3-Day Average Percent Positivity,0.072,02/02/2021,Colorado,5763976
1671,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/26/2020,Percent Positivity,0.073,02/02/2021,Colorado,5763976
1672,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/26/2020,People Tested at CDPHE State Lab,7099,02/02/2021,Colorado,5763976
1673,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/26/2020,People Tested at Non-CDPHE (Commerical) Labs,11748,02/02/2021,Colorado,5763976
1674,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/26/2020,Cumulative People Tested at CDPHE State Lab,561931,02/02/2021,Colorado,5763976
1675,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/26/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1350815,02/02/2021,Colorado,5763976
1676,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/26/2020,7-Day Average Percent Positivity,0.068,02/02/2021,Colorado,5763976
1677,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/26/2020,3-Day Average Percent Positivity,0.075,02/02/2021,Colorado,5763976
1678,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/27/2020,Percent Positivity,0.072,02/02/2021,Colorado,5763976
1679,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/27/2020,People Tested at CDPHE State Lab,7209,02/02/2021,Colorado,5763976
1680,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/27/2020,People Tested at Non-CDPHE (Commerical) Labs,10849,02/02/2021,Colorado,5763976
1681,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/27/2020,Cumulative People Tested at CDPHE State Lab,569140,02/02/2021,Colorado,5763976
1682,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/27/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1361664,02/02/2021,Colorado,5763976
1683,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/27/2020,7-Day Average Percent Positivity,0.069,02/02/2021,Colorado,5763976
1684,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/27/2020,3-Day Average Percent Positivity,0.074,02/02/2021,Colorado,5763976
1685,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/28/2020,Percent Positivity,0.07,02/02/2021,Colorado,5763976
1686,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/28/2020,People Tested at CDPHE State Lab,6911,02/02/2021,Colorado,5763976
1687,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/28/2020,People Tested at Non-CDPHE (Commerical) Labs,18572,02/02/2021,Colorado,5763976
1688,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/28/2020,Cumulative People Tested at CDPHE State Lab,576051,02/02/2021,Colorado,5763976
1689,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/28/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1380236,02/02/2021,Colorado,5763976
1690,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/28/2020,7-Day Average Percent Positivity,0.07,02/02/2021,Colorado,5763976
1691,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/28/2020,3-Day Average Percent Positivity,0.071,02/02/2021,Colorado,5763976
1692,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/29/2020,Percent Positivity,0.091,02/02/2021,Colorado,5763976
1693,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/29/2020,People Tested at CDPHE State Lab,8101,02/02/2021,Colorado,5763976
1694,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/29/2020,People Tested at Non-CDPHE (Commerical) Labs,19352,02/02/2021,Colorado,5763976
1695,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/29/2020,Cumulative People Tested at CDPHE State Lab,584152,02/02/2021,Colorado,5763976
1696,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/29/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1399588,02/02/2021,Colorado,5763976
1697,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/29/2020,7-Day Average Percent Positivity,0.075,02/02/2021,Colorado,5763976
1698,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/29/2020,3-Day Average Percent Positivity,0.079,02/02/2021,Colorado,5763976
1699,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/30/2020,Percent Positivity,0.088,02/02/2021,Colorado,5763976
1700,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/30/2020,People Tested at CDPHE State Lab,11037,02/02/2021,Colorado,5763976
1701,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/30/2020,People Tested at Non-CDPHE (Commerical) Labs,23347,02/02/2021,Colorado,5763976
1702,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/30/2020,Cumulative People Tested at CDPHE State Lab,595189,02/02/2021,Colorado,5763976
1703,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/30/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1422935,02/02/2021,Colorado,5763976
1704,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/30/2020,7-Day Average Percent Positivity,0.079,02/02/2021,Colorado,5763976
1705,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/30/2020,3-Day Average Percent Positivity,0.084,02/02/2021,Colorado,5763976
1706,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/31/2020,Percent Positivity,0.099,02/02/2021,Colorado,5763976
1707,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/31/2020,People Tested at CDPHE State Lab,7117,02/02/2021,Colorado,5763976
1708,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/31/2020,People Tested at Non-CDPHE (Commerical) Labs,23120,02/02/2021,Colorado,5763976
1709,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/31/2020,Cumulative People Tested at CDPHE State Lab,602306,02/02/2021,Colorado,5763976
1710,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/31/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1446055,02/02/2021,Colorado,5763976
1711,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/31/2020,7-Day Average Percent Positivity,0.083,02/02/2021,Colorado,5763976
1712,Daily COVID-19 PCR Test Data From Clinical Laboratories,10/31/2020,3-Day Average Percent Positivity,0.092,02/02/2021,Colorado,5763976
1713,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/01/2020,Percent Positivity,0.107,02/02/2021,Colorado,5763976
1714,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/01/2020,People Tested at CDPHE State Lab,6240,02/02/2021,Colorado,5763976
1715,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/01/2020,People Tested at Non-CDPHE (Commerical) Labs,19746,02/02/2021,Colorado,5763976
1716,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/01/2020,Cumulative People Tested at CDPHE State Lab,608546,02/02/2021,Colorado,5763976
1717,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/01/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1465801,02/02/2021,Colorado,5763976
1718,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/01/2020,7-Day Average Percent Positivity,0.087,02/02/2021,Colorado,5763976
1719,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/01/2020,3-Day Average Percent Positivity,0.097,02/02/2021,Colorado,5763976
1720,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/02/2020,Percent Positivity,0.112,02/02/2021,Colorado,5763976
1721,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/02/2020,People Tested at CDPHE State Lab,7936,02/02/2021,Colorado,5763976
1722,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/02/2020,People Tested at Non-CDPHE (Commerical) Labs,16734,02/02/2021,Colorado,5763976
1723,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/02/2020,Cumulative People Tested at CDPHE State Lab,616482,02/02/2021,Colorado,5763976
1724,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/02/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1482535,02/02/2021,Colorado,5763976
1725,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/02/2020,7-Day Average Percent Positivity,0.092,02/02/2021,Colorado,5763976
1726,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/02/2020,3-Day Average Percent Positivity,0.105,02/02/2021,Colorado,5763976
1727,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/03/2020,Percent Positivity,0.113,02/02/2021,Colorado,5763976
1728,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/03/2020,People Tested at CDPHE State Lab,7161,02/02/2021,Colorado,5763976
1729,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/03/2020,People Tested at Non-CDPHE (Commerical) Labs,20060,02/02/2021,Colorado,5763976
1730,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/03/2020,Cumulative People Tested at CDPHE State Lab,623643,02/02/2021,Colorado,5763976
1731,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/03/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1502595,02/02/2021,Colorado,5763976
1732,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/03/2020,7-Day Average Percent Positivity,0.097,02/02/2021,Colorado,5763976
1733,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/03/2020,3-Day Average Percent Positivity,0.111,02/02/2021,Colorado,5763976
1734,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/04/2020,Percent Positivity,0.113,02/02/2021,Colorado,5763976
1735,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/04/2020,People Tested at CDPHE State Lab,8223,02/02/2021,Colorado,5763976
1736,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/04/2020,People Tested at Non-CDPHE (Commerical) Labs,25520,02/02/2021,Colorado,5763976
1737,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/04/2020,Cumulative People Tested at CDPHE State Lab,631866,02/02/2021,Colorado,5763976
1738,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/04/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1528115,02/02/2021,Colorado,5763976
1739,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/04/2020,7-Day Average Percent Positivity,0.103,02/02/2021,Colorado,5763976
1740,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/04/2020,3-Day Average Percent Positivity,0.113,02/02/2021,Colorado,5763976
1741,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/05/2020,Percent Positivity,0.111,02/02/2021,Colorado,5763976
1742,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/05/2020,People Tested at CDPHE State Lab,8775,02/02/2021,Colorado,5763976
1743,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/05/2020,People Tested at Non-CDPHE (Commerical) Labs,27262,02/02/2021,Colorado,5763976
1744,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/05/2020,Cumulative People Tested at CDPHE State Lab,640641,02/02/2021,Colorado,5763976
1745,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/05/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1555377,02/02/2021,Colorado,5763976
1746,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/05/2020,7-Day Average Percent Positivity,0.106,02/02/2021,Colorado,5763976
1747,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/05/2020,3-Day Average Percent Positivity,0.112,02/02/2021,Colorado,5763976
1748,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/06/2020,Percent Positivity,0.113,02/02/2021,Colorado,5763976
1749,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/06/2020,People Tested at CDPHE State Lab,7549,02/02/2021,Colorado,5763976
1750,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/06/2020,People Tested at Non-CDPHE (Commerical) Labs,31125,02/02/2021,Colorado,5763976
1751,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/06/2020,Cumulative People Tested at CDPHE State Lab,648190,02/02/2021,Colorado,5763976
1752,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/06/2020,Cumulative People Tested at Non-CDPHE (Commerical) Labs,1586502,02/02/2021,Colorado,5763976
1753,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/06/2020,7-Day Average Percent Positivity,0.11,02/02/2021,Colorado,5763976
1754,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/06/2020,3-Day Average Percent Positivity,0.112,02/02/2021,Colorado,5763976
1755,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/07/2020,Percent Positivity,0.123,02/02/2021,Colorado,5763976
1756,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/07/2020,People Tested at CDPHE State Lab,6088,02/02/2021,Colorado,5763976
1757,Daily COVID-19 PCR Test Data From Clinical Laboratories,11/07/2020,People Tested at Non-CDPHE (Commerical) Labs,25320,02/02/2021,Colorado,5763976
